album_id	album_name	album_release_date	artist_id
3euz4vS7ezKGnNSwgyvKcd	Positions	2020-10-30	66CXWjxzNUsdJxJ2JdwvnR
5UACk85y1hNRSUtY0ss8pb	k bye for now (swt live)	2019-12-23	66CXWjxzNUsdJxJ2JdwvnR
2fYhqwDWXjbpjaIJPEfKFw	thank u, next	2019-02-08	66CXWjxzNUsdJxJ2JdwvnR
3tx8gQqWbGwqIGZHqDNrGe	Sweetener	2018-08-17	66CXWjxzNUsdJxJ2JdwvnR
1w3bK9CG80xsuDPlrz5EV7	Nobody Safe	2020-11-20	1pPmIToKXyGdsCF6LmqLmI
16KXrAw3eocY4j77dD2EUk	Until I Return	2020-11-13	7wlFDEWiM5OoIAt8RSli8b
6MbQdX6OomgQhZU6QCqMKW	Top	2020-09-11	7wlFDEWiM5OoIAt8RSli8b
4ZpCZs3zu8tFnJL0vrQIh1	BOY	2020-05-08	4AGwPDdh1y8hochNzHy5HC
2a2gaBPzah3tEiGNM3eurq	EGO	2017-07-14	4AGwPDdh1y8hochNzHy5HC
0UMiljg2dwbDv1tTp0IsGG	Master Spy (Original Soundtrack)	2015-09-14	4AGwPDdh1y8hochNzHy5HC
28adqly9V7wm5DFr7hlqtK	Los Dioses	2021-01-22	2R21vXR83lH98kGeO99Y66
7JtT7OyWM8BnIS5FXXPMKg	Emmanuel	2020-05-29	2R21vXR83lH98kGeO99Y66
5pQwQRnQOuKrbVUVnGMEN4	Real Hasta la Muerte	2018-07-17	2R21vXR83lH98kGeO99Y66
3MATDdrpHmQCmuOcozZjDa	TESTING	2018-05-25	13ubrt8QOOCPljQ2FL1Kca
5b6HBIqolYQCK29Ma4tVqP	AT.LONG.LAST.A$AP	2015-06-17	13ubrt8QOOCPljQ2FL1Kca
1JsySWOa2RchsBB2N4313v	Chilombo (Deluxe)	2020-07-17	5ZS223C6JyBfXasXxrRqOk
5jlE1zlhT3mEWw0mRpN920	Chilombo	2020-03-06	5ZS223C6JyBfXasXxrRqOk
7CAAClnSiXdMibPT1oyl4k	Trip	2017-09-22	5ZS223C6JyBfXasXxrRqOk
2d9BCZeAAhiZWPpbX9aPCW	EL ÚLTIMO TOUR DEL MUNDO	2020-11-27	4q3ewBCX7sLwd24euuV69X
4gvQO5mEuhbMSrLIuwXkmz	LAS QUE NO IBAN A SALIR	2020-05-10	4q3ewBCX7sLwd24euuV69X
5lJqux7orBlA1QzyiBGti1	YHLQMDLG	2020-02-28	4q3ewBCX7sLwd24euuV69X
6ylFfzx32ICw4L1A7YWNLN	OASIS	2019-06-28	1vyhD5VmyZ7KMfW5gqLgo5
7CjJb2mikwAWA1V6kewFBF	X 100PRE	2018-12-23	4q3ewBCX7sLwd24euuV69X
5GAvwptqr4r63i8lZWrL58	My Turn (Deluxe)	2020-10-01	5f7VJjfbwm532GiveGC0ZK
1ynyQdPQiXdYJNQEDL1S3d	My Turn	2020-02-28	5f7VJjfbwm532GiveGC0ZK
63iWSELt9V1kV6RSMxN7Ii	Changes	2020-02-14	1uNFoZAHBGtllmzznpCI3s
3jJ5HhbOC2KB5fOZ2RgJTo	Purpose (Deluxe)	2015-11-13	1uNFoZAHBGtllmzznpCI3s
1rknZw4cyL9NInAqSwc8AA	Journals	2014-05-13	1uNFoZAHBGtllmzznpCI3s
0S0KGZnfBGSIssfF54WSJh	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	2019-03-29	6qqNVTkY8uBg9cP3Jd7DAH
64nbgEEIcY4g1ElVLONJ0w	Man On The Moon III: The Chosen	2020-12-11	0fA0VVWsXO9YnASrzqfmYu
6pwuKxMUkNg673KETsXPUV	KIDS SEE GHOSTS	2018-06-08	2hPgGN4uhvXAxiXQBIXOmE
5bCk3kWAy2JbbTfHqzZCII	Passion, Pain & Demon Slayin'	2016-12-16	0fA0VVWsXO9YnASrzqfmYu
7fZKtzZAsfH0kzeTivu5TG	Slime & B	2020-05-08	7bXgB6jMjp9ATFy66eO08Z
3okhA6w5uau6ZNhnVpwVww	Indigo (Extended)	2019-10-04	7bXgB6jMjp9ATFy66eO08Z
1BfLzaTFI5qKsAAk0Ae6aV	Indigo	2019-06-28	7bXgB6jMjp9ATFy66eO08Z
5PerfGh9Smd6XjwkxpmL4V	Revenge Of The Dreamers III: Director's Cut	2020-01-16	1iNqsUDUraNWrj00bqssQG
2n3quCZ0anEa46j2IveacI	Revenge Of The Dreamers III	2019-07-05	1iNqsUDUraNWrj00bqssQG
4Wv5UAieM1LDEYVq5WmqDd	KOD	2018-04-20	6l3HvQ5sa6mXTsMTB19rO5
3xcNRROgwXUvhR9NVrvAR4	Hot Pink (Japan Version)	2020-11-11	5cj0lLjcoR7YOSnhnX0Po5
1MmVkhiwTH0BkNOU3nw5d3	Hot Pink	2019-11-07	5cj0lLjcoR7YOSnhnX0Po5
3wOMqxNHgkga91RBC7BaZU	Amala (Deluxe Version)	2019-03-01	5cj0lLjcoR7YOSnhnX0Po5
25TJxI6ZH6XjT8geRQAFz5	What You See Ain't Always What You Get (Deluxe Edition)	2020-10-23	718COspgdWOnwOFpJHRZHS
0S9D5NIDp2YXhYwlvuJzqx	What You See Is What You Get	2019-11-08	718COspgdWOnwOFpJHRZHS
53Oa5Bu0UTU8o8qCTaHKoz	This One's for You Too (Deluxe Edition)	2018-06-01	718COspgdWOnwOFpJHRZHS
1lhNch5NkOONvFhRPh8qaj	This One's for You	2017-06-02	718COspgdWOnwOFpJHRZHS
6OQ9gBfg5EXeNAEwGSs6jK	Dark Lane Demo Tapes	2020-05-01	3TVXtAsR1Inumwj472S9r4
7dqpveMVcWgbzqYrOdkFTD	Care Package	2019-08-02	3TVXtAsR1Inumwj472S9r4
2podUJIFG8hLfFz7Kqe8yJ	So Far Gone	2019-02-14	3TVXtAsR1Inumwj472S9r4
