artist_id	artist_name	artist_genre	artist_popularity	artist_followers
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	dance pop	97	57954136
7wlFDEWiM5OoIAt8RSli8b	YoungBoy Never Broke Again	baton rouge rap	87	6326259
4AGwPDdh1y8hochNzHy5HC	RAC	alternative dance	65	139845
2R21vXR83lH98kGeO99Y66	Anuel AA	latin	93	16363533
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky	east coast hip hop	86	8667115
5ZS223C6JyBfXasXxrRqOk	Jhené Aiko	alternative r&b	84	4185812
4q3ewBCX7sLwd24euuV69X	Bad Bunny	latin	100	30029647
5f7VJjfbwm532GiveGC0ZK	Lil Baby	atl hip hop	93	6218162
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	canadian pop	96	42407755
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	electropop	94	39519488
0fA0VVWsXO9YnASrzqfmYu	Kid Cudi	hip hop	89	4584268
7bXgB6jMjp9ATFy66eO08Z	Chris Brown	dance pop	91	13118812
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	conscious hip hop	88	12601329
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	dance pop	91	5305342
718COspgdWOnwOFpJHRZHS	Luke Combs	contemporary country	85	4423637
3TVXtAsR1Inumwj472S9r4	Drake	canadian hip hop	98	52886911
4r63FhuTkUYltbVAg5TQnk	DaBaby	north carolina hip hop	94	5846480
3hcs9uc56yIGFCSy9leWe7	Lil Durk	chicago drill	88	2212476
7c0XG5cIJTrrAgEC3ULPiq	Ty Dolla $ign	pop rap	89	3669679
4AK6F7OLvEQ5QYCBNiQWHq	One Direction	boy band	91	19993566
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	art pop	88	12203267
5fMUXHkw8R8eOP2RNVYEZX	Diplo	bmore	87	2348162
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	modern rock	89	32604124
4VMYDCV2IEDYJArk749S6m	Daddy Yankee	latin	91	22100243
7z5WFjZAIYejWy0NI5lv4T	Dan + Shay	contemporary country	80	2099005
3jK9MiCrA42lLAdMGUZpwa	Anderson .Paak	escape room	79	1703043
2QsynagSdAqZj3U9HgDzjD	Bob Marley & The Wailers	reggae	83	9130484
0XKOBt59crntr7HQXXO8Yz	Brooks & Dunn	contemporary country	73	1750585
2oX42qP5ineK3hrhBECLmj	Andy Grammer	modern rock	77	906517
1RyvyyTE3xzB2ZywiAwp0i	Future	atl hip hop	91	9865920
2h93pZq0e7k5yf4dywlkpM	Frank Ocean	alternative r&b	87	7234731
3tlXnStJ1fFhdScmQeLpuG	Brent Faiyaz	dmv rap	83	1351297
3b8QkneNDz4JHKKKlLgYZg	Florida Georgia Line	contemporary country	82	4180879
08GQAI4eElDnROBrJRGE0X	Fleetwood Mac	album rock	85	6035255
329e4yvIujISKGKz1BZZbO	Farruko	latin	92	9336550
1dABGukgZ8XKKOdd2rVSHM	Lofi Fruits Music		85	52935
4UXqAaa6dQYAk18Lv7PEgX	Fall Out Boy	emo	83	8584926
7jy3rLJdDQY21OgRLCZ9sD	Foo Fighters	alternative metal	83	8446582
1Mxqyy3pSjf8kZZL4QVxS0	Frank Sinatra	adult standards	82	4534968
6AgTAQt8XS6jRWi4sX7w49	Polo G	chicago rap	89	3112162
6TIYQ3jFPwQSRmorSezPxX	Machine Gun Kelly	ohio hip hop	89	3118034
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	dance pop	90	16158760
13y7CgLHjMVRMDqxdx0Xdo	Gucci Mane	atl hip hop	83	3700825
1gPhS1zisyXr5dHTYZyiMe	Kevin Gates	baton rouge rap	80	3913175
02kJSzxNuaWGqwubyUba0Z	G-Eazy	hip hop	84	4758570
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	dance pop	89	25192601
4yvcSjfu4PC0CYQyLy4wSq	Glass Animals	gauze pop	83	1519212
26VFTg2z8YR0cCuwLzESi2	Halsey	dance pop	90	13864776
6KImCVD70vtIoJWnq6nGn3	Harry Styles	pop	91	12707975
2LIk90788K0zvyj2JJVwkJ	Jack Harlow	deep underground hip hop	86	709257
3Y7RZ31TRPVadSFVy1o8os	H.E.R.	alternative r&b	82	3409870
2FXC3k01G6Gw61bmprjgqS	Hozier	irish singer-songwriter	82	4466852
7CajNmpbOovFoOoasH2HaY	Calvin Harris	dance pop	88	21207963
3UUJfRbrA2nTbcg4i0MOwu	Original Broadway Cast of Hamilton	broadway	81	388389
0L8ExT028jH3ddEcZwqJJ5	Red Hot Chili Peppers	alternative rock	86	15383647
5R9eOlQf7HGzD6srMeJKio	Solfeggio Healing Frequencies	meditation	79	30128
7Gi6gjaWy3DxyilpF1a8Is	Junior H	corrido	80	605984
6MPCFvOQv5cIGfw3jODMF0	Internet Money	pop rap	85	225904
5INjqkS1o8h1imAzPqGZBb	Tame Impala	australian psych	83	4649213
4LEiUm1SRbFMgfqnQTwUbQ	Bon Iver	eau claire indie	81	2904025
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	chicago rap	98	15825213
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	latin	96	26197642
3MZsBdqDrRTJihTHQrO6Dq	Joji	alternative r&b	87	4118206
3KV3p5EY4AvKxOlhGHORLg	Jeremih	chicago rap	81	4809349
3FfvYsEGaIb52QPXhg4DcH	Jason Aldean	contemporary country	78	4382989
0EFisYRi20PTADoJrifHrz	Jhay Cortez	latin	89	1721066
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	chicago rap	92	13305647
6LuN9FCkKOj5PcnpouEgny	Khalid	alternative r&b	92	13408006
242d2wUjaxIxQaUIJr1953	Artis_Tek		0	9
2tIP7SsRs7vjIcLrU85W8J	The Kid LAROI	australian hip hop	92	1335097
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	conscious hip hop	90	16456960
137W8MRPWKqSmrBGDBFSop	Wiz Khalifa	hip hop	88	9764698
46SHBwWsqBkxI7EeeBEQG7	Kodak Black	florida rap	84	6687881
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	melodic rap	92	10799636
2kCcBybjl3SAtIcwdWpUe3	Lil Peep	emo rap	90	6281691
6jGMq4yGs7aQzuGsMgVgZR	Lil Tjay	brooklyn drill	88	2502438
2jku7tDXc6XoB6MO2hFuqg	Tory Lanez	canadian hip hop	85	3493808
4oUHIQIBe0LHzYfvXNW4QM	Morgan Wallen	contemporary country	92	1420679
246dkjvS1zLTtiykXe5h60	Post Malone	dfw rap	93	31170746
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	dance pop	91	20318040
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	houston rap	89	3336839
64KEffDW9EtZ1y2vBYgq8T	Marshmello	brostep	89	29398275
0iEtIxbK0KxaSlF7G42ZOp	Metro Boomin	hip hop	86	2323339
5YGY8feqx7naU7z4HrwZM6	Miley Cyrus	dance pop	91	14156062
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	canadian pop	91	31412818
7iK8PXO48WeuP03g8YR51W	Myke Towers	trap latino	95	4366652
7rkW85dBwwrJtlHRDkJDAC	NAV	canadian hip hop	86	2362809
6fOMl44jA4Sp5b9PpYCkzz	NF	hip hop	85	4906281
77SW9BnxLY8rJ0RciFqkHh	The Neighbourhood	modern alternative rock	87	5487362
1i8SpTcr7yvPOmcqrbnVXY	Ozuna	latin	95	26802153
