album_id,album_name,album_release_date,album_total_tracks,album_artist_id,album_image,album_homepage
74vajFwEwXJ61OW1DKSPEa,Positions (Deluxe),2021-02-19,19,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab67616d0000b2739508fb7ca2eedc0d98b9139f,https://open.spotify.com/album/74vajFwEwXJ61OW1DKSPEa
3euz4vS7ezKGnNSwgyvKcd,Positions,2020-10-30,14,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605,https://open.spotify.com/album/3euz4vS7ezKGnNSwgyvKcd
5UACk85y1hNRSUtY0ss8pb,k bye for now (swt live),2019-12-23,32,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab67616d0000b273d0f561d8bb164349dccbfde4,https://open.spotify.com/album/5UACk85y1hNRSUtY0ss8pb
2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw
3tx8gQqWbGwqIGZHqDNrGe,Sweetener,2018-08-17,15,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,https://open.spotify.com/album/3tx8gQqWbGwqIGZHqDNrGe
2A1KyqHu1DmLtjXpIMNoQq,Christmas & Chill (Japan Version),2016-11-18,7,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab67616d0000b27306c6b13f577db624e75bde2b,https://open.spotify.com/album/2A1KyqHu1DmLtjXpIMNoQq
1w3bK9CG80xsuDPlrz5EV7,Nobody Safe,2020-11-20,15,1pPmIToKXyGdsCF6LmqLmI,https://i.scdn.co/image/ab67616d0000b273ef43da2dbab33211de444b78,https://open.spotify.com/album/1w3bK9CG80xsuDPlrz5EV7
16KXrAw3eocY4j77dD2EUk,Until I Return,2020-11-13,15,7wlFDEWiM5OoIAt8RSli8b,https://i.scdn.co/image/ab67616d0000b273dd03ab7388c62f590380bf94,https://open.spotify.com/album/16KXrAw3eocY4j77dD2EUk
6MbQdX6OomgQhZU6QCqMKW,Top,2020-09-11,21,7wlFDEWiM5OoIAt8RSli8b,https://i.scdn.co/image/ab67616d0000b2738bd6e34012a7ab6311050d0c,https://open.spotify.com/album/6MbQdX6OomgQhZU6QCqMKW
5vjOhA7AkB9WK7I2NnzIex,38 Baby 2,2020-04-24,17,7wlFDEWiM5OoIAt8RSli8b,https://i.scdn.co/image/ab67616d0000b2736e282d62330c94ac2f451bf5,https://open.spotify.com/album/5vjOhA7AkB9WK7I2NnzIex
6mhlquPOu46v4c7nXS35mX,"Still Flexin, Still Steppin",2020-02-21,14,7wlFDEWiM5OoIAt8RSli8b,https://i.scdn.co/image/ab67616d0000b2734a334652028d6ab93ed8346b,https://open.spotify.com/album/6mhlquPOu46v4c7nXS35mX
1nzUj7VkiaytMmf2KrhK2L,AI YoungBoy 2,2019-10-11,18,7wlFDEWiM5OoIAt8RSli8b,https://i.scdn.co/image/ab67616d0000b273a4cba447b322609cd47fb9d3,https://open.spotify.com/album/1nzUj7VkiaytMmf2KrhK2L
4ZpCZs3zu8tFnJL0vrQIh1,BOY,2020-05-08,18,4AGwPDdh1y8hochNzHy5HC,https://i.scdn.co/image/ab67616d0000b273bbf1293cad9fb99b78bbbff6,https://open.spotify.com/album/4ZpCZs3zu8tFnJL0vrQIh1
2a2gaBPzah3tEiGNM3eurq,EGO,2017-07-14,14,4AGwPDdh1y8hochNzHy5HC,https://i.scdn.co/image/ab67616d0000b27387d8d53bb9cac5e1a56b780d,https://open.spotify.com/album/2a2gaBPzah3tEiGNM3eurq
0UMiljg2dwbDv1tTp0IsGG,Master Spy (Original Soundtrack),2015-09-14,17,4AGwPDdh1y8hochNzHy5HC,https://i.scdn.co/image/ab67616d0000b2738a36086454d79b3d1d46331e,https://open.spotify.com/album/0UMiljg2dwbDv1tTp0IsGG
0pvp7cHQccsevHLhClFbSz,Strangers,2014-01-01,16,4AGwPDdh1y8hochNzHy5HC,https://i.scdn.co/image/ab67616d0000b2735dc08a1f177fbec3ce382c1d,https://open.spotify.com/album/0pvp7cHQccsevHLhClFbSz
