track_id,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time_signature
12sliObzVzbLbAlDb8eChf,157710,0.499,0.462,-5.308,0.0312,0.801,0.0,0.0946,0.599,127.698,0,1,4
1hG4V53eR16jg7jVTNLOiX,173711,0.83,0.585,-6.476,0.094,0.237,0.0,0.248,0.485,109.978,0,1,4
5VipERQ1ofCowecoFg2MVU,167990,0.789,0.742,-5.664,0.0652,0.0681,0.0,0.166,0.661,116.965,10,0,4
1N9hFgcgWYbGINUKjhvcK6,149900,0.719,0.607,-5.156,0.165,0.08,0.0,0.125,0.464,128.006,8,1,4
1qKdid2S9fZdSrzLaCcjcF,239949,0.411,0.522,-7.295,0.0981,0.519,0.0,0.398,0.382,88.332,0,1,1
4rJWTThj9EWR6UqD1eVyge,183874,0.739,0.516,-7.154,0.0539,0.67,0.0,0.151,0.434,120.109,0,1,4
53Z8fbdVNus9Kiu7tWIBEC,208457,0.552,0.599,-5.75,0.0404,0.0703,0.0,0.0986,0.0916,161.884,1,0,4
5Ds3yH73nMHgkmJxcxqPrr,158436,0.686,0.526,-6.842,0.0374,0.0815,7.75e-06,0.144,0.372,92.013,0,1,4
7wcl0YJBQ0ygTUUaXLRM1g,200733,0.772,0.506,-6.558,0.139,0.0814,1.1e-05,0.182,0.456,127.894,6,0,4
7cFYqReKEigTxTm0bNE6YA,132279,0.688,0.455,-8.632,0.199,0.186,0.0,0.0794,0.557,87.865,11,0,4
4iIrJ94pkIEnGZWv1MhIRC,179861,0.688,0.573,-5.03,0.208,0.0686,0.0,0.0749,0.553,110.034,10,0,4
3DFnLXa69NVlOjbhTbXXNn,172325,0.737,0.802,-4.771,0.0878,0.468,0.0,0.0931,0.682,144.015,0,1,4
65OEcDb4M3mAvEpSdXi6Lv,146959,0.624,0.672,-5.334,0.106,0.0967,0.0,0.155,0.26,159.852,0,1,4
3RP1eXaK8f4rwqY9fRKVRF,201882,0.487,0.534,-5.664,0.0555,0.36,0.0,0.1,0.173,131.798,0,0,4
3Os1431WclqyKxWqMzRESE,76742,0.639,0.544,-9.5,0.0383,0.175,2.44e-05,0.14,0.179,118.158,5,0,4
3eZYOQO4UzKrUDYDghtnFw,122174,0.698,0.708,-4.943,0.0454,0.0251,0.0,0.124,0.322,115.036,9,0,4
2sQH02O2HBCPJCztBrCWNa,182438,0.659,0.662,-5.768,0.434,0.211,0.0,0.228,0.704,109.957,5,1,4
6KIKaWKE9wV6mLjho3w61y,124282,0.726,0.667,-5.956,0.0617,0.37,0.0,0.118,0.434,100.053,5,0,4
63WsFFnQ8CL941iZBELYsX,129080,0.734,0.475,-7.77,0.0403,0.317,1.41e-06,0.113,0.217,134.119,9,1,4
5SyCD1ic378B4rYWhDmuvo,43251,0.239,0.408,-13.623,0.06,0.884,0.0318,0.68,0.161,72.138,6,1,3
67kQ3UW7saqCFqB54BVKKI,213068,0.498,0.836,-5.224,0.0669,0.158,6.59e-06,0.971,0.279,144.882,10,0,4
12s87E3EVHMYZQyr9mXsUi,212164,0.674,0.816,-4.387,0.0416,0.0392,1.56e-05,0.342,0.501,137.976,3,0,4
56feSEETtLwNjY5Xz8XbKI,223872,0.593,0.737,-5.102,0.0475,0.0162,1.55e-05,0.975,0.238,84.87,5,0,4
2I2HYr4FLb6LPfdgcKxK2J,177913,0.705,0.554,-9.628,0.0551,0.321,9.26e-06,0.978,0.611,80.042,10,0,4
4OR2KU2qCnREBsSwwJ4PBn,174604,0.713,0.707,-5.947,0.0403,0.155,2.12e-06,0.956,0.366,112.929,1,0,4
1Bvxlmt3CtZTyls2IJQ38T,174000,0.655,0.7,-4.242,0.0789,0.158,1.25e-06,0.877,0.529,119.835,4,1,4
7bfnkOya2SV8LLTsYmRQJR,125631,0.758,0.883,-3.989,0.0608,0.0879,3.54e-05,0.24,0.736,114.021,7,0,4
1FYLqciy2MckeKgTvOCawO,260519,0.515,0.865,-4.065,0.161,0.0251,5.59e-05,0.971,0.372,158.053,6,0,4
6va6SjWz457IOZidBppAhz,226850,0.443,0.739,-6.509,0.209,0.226,0.000378,0.961,0.146,139.829,9,1,4
6Q4JJnjX00q8O10OliHhjS,83785,0.448,0.71,-5.095,0.0578,0.196,0.0,0.638,0.273,104.024,1,0,4
1edP751qQSUaA1vo7Hva3w,208294,0.322,0.874,-2.893,0.2,0.0454,2.27e-06,0.945,0.171,98.089,8,1,4
1IVnvJN9oC3pDYv9qpAnj7,174295,0.317,0.474,-6.314,0.0661,0.699,0.0,0.945,0.318,76.592,7,0,4
5BYts42mYfuullBbELoaEV,205586,0.395,0.735,-4.559,0.226,0.109,1.66e-06,0.353,0.177,83.143,9,1,4
1TCEZgYrPjc2G5sBYJciuq,138359,0.717,0.768,-4.554,0.137,0.145,4.3e-06,0.0741,0.472,104.973,7,1,3
7MjS7SoRzn8VXajFdV3t04,99405,0.613,0.802,-4.473,0.171,0.0407,0.0,0.92,0.271,79.514,7,1,4
6FmBKZxA3K1Ycr9spEeI15,81401,0.767,0.92,-3.445,0.0997,0.0673,1.96e-06,0.375,0.598,104.9,1,1,4
1qfOSlQohddqAOGl3f8snd,134875,0.743,0.85,-4.686,0.0595,0.0501,0.0,0.942,0.657,98.026,11,1,4
4jkikgyrlBMR4Fj3d1s4jT,185000,0.648,0.621,-5.831,0.179,0.207,2.73e-05,0.918,0.371,76.002,6,1,4
6dB14UPKgEDLTp38BIKk6N,203337,0.358,0.639,-4.938,0.0382,0.257,0.0,0.964,0.314,103.289,7,1,3
5qmcKqCKRb4EFwRTsndXNe,162876,0.615,0.945,-5.607,0.259,0.273,0.0,0.962,0.45,101.502,9,0,4
0ao5xnzWNAt0dZFF6v4Sct,188787,0.603,0.611,-4.177,0.0322,0.158,0.0,0.944,0.158,111.02,1,1,4
5XkiYqfFAXsXG4V2mGZET8,207000,0.639,0.625,-4.932,0.0509,0.333,0.0,0.398,0.482,100.015,7,1,4
58T204WTLWAs34lOvheS28,150000,0.673,0.783,-6.997,0.0521,0.0421,0.238,0.352,0.324,136.822,0,1,4
2Hk1xo2ZrysHtBQMmZvg8U,131928,0.239,0.676,-4.868,0.0613,0.0419,6.98e-06,0.551,0.198,73.373,10,0,4
0mQVABspENyHvpVqRpnkxJ,130072,0.762,0.882,-3.814,0.072,0.00339,0.000326,0.277,0.597,99.044,7,1,4
