artist_name,cnt
Steven Universe,300
Harris Heller,243
Frank Sinatra,232
Elton John,207
Fleetwood Mac,205
The Beatles,192
Billy Joel,161
George Strait,154
Linkin Park,153
Led Zeppelin,153
Van Morrison,151
Nirvana,147
Simon & Garfunkel,140
Beto Quintanilla,137
"Earth, Wind & Fire",134
Pink Floyd,134
Tom Petty and the Heartbreakers,126
Bob Marley & The Wailers,125
Kenny Chesney,125
Nipsey Hussle,124
AC/DC,124
Florida Georgia Line,121
Red Hot Chili Peppers,121
Hans Zimmer,119
Quiet Riot,119
Farruko,119
Foo Fighters,118
Nicky Jam,117
Vicente Fernández,117
Brooks & Dunn,115
Drake,113
Russ,112
XXXTENTACION,111
John Mayer,111
Whitney Houston,111
Daryl Hall & John Oates,110
Justin Timberlake,110
Chris Brown,110
$uicideboy$,109
Trippie Redd,109
El Fantasma,108
Queen,107
Van Halen,105
Qumu,105
John Legend,105
Gorillaz,103
Lil Yachty,103
"Tyler, The Creator",101
Usher,100
Grupo Firme,100
French Montana,99
Lil Wayne,98
Rob Zombie,98
U2,96
Mac Miller,96
Maluma,95
Future,94
Voskresenie,94
Michael Jackson,94
Wisin & Yandel,93
A Tribe Called Quest,93
ILLENIUM,91
Migos,91
Miley Cyrus,90
Tory Lanez,90
Ice Cube,88
Ariana Grande,87
Carrie Underwood,87
The Used,86
One Direction,86
YoungBoy Never Broke Again,85
G Herbo,85
Queens of the Stone Age,84
Ty Dolla $ign,84
Shawn Mendes,83
Kodak Black,83
Xavier Wulf,83
Lil Baby,82
Gucci Mane,82
Jason Aldean,81
Kevin Gates,81
Hillsong UNITED,81
Luke Bryan,79
Kesha,79
Zac Brown Band,79
Justin Bieber,78
Upchurch,78
A L E X,78
G-Eazy,77
T-Pain,77
Static-X,77
Paramore,77
Green Day,76
Chance the Rapper,75
Xzibit,74
Playboi Carti,74
Daddy Yankee,74
ScHoolboy Q,74
Mother Mother,74
blackbear,74
Megan Thee Stallion,73
Kid Cudi,72
Keith Urban,72
5 Seconds of Summer,72
Alicia Keys,72
Young Thug,71
Rich Homie Quan,71
A Boogie Wit da Hoodie,71
Ozuna,70
Vitamin String Quartet,70
Junior H,69
Halsey,69
E-40,69
DaBaby,68
Gunna,68
Imagine Dragons,67
Childish Gambino,67
Meek Mill,66
Anderson .Paak,65
RAC,65
Curren$y,65
Arctic Monkeys,65
Wiz Khalifa,64
Five Finger Death Punch,64
A$AP Ferg,64
Fetty Wap,64
Jack Harlow,64
Jhené Aiko,64
Zion & Lennox,63
PARTYNEXTDOOR,63
Quando Rondo,63
21 Savage,62
Allie X,62
Pierce The Veil,62
UPPERROOM,61
The Neighbourhood,61
Pitbull,61
Vance Joy,60
Quality Control,60
Juice WRLD,59
Charli XCX,59
Rick Ross,59
Monsta X,58
Lil Peep,58
The Head And The Heart,58
Pop Smoke,58
Machine Gun Kelly,58
Moneybagg Yo,57
Bad Bunny,57
Lana Del Rey,57
Black Eyed Peas,57
Bring Me The Horizon,57
Big Sean,57
Katy Perry,57
Justin Quiles,56
Dua Lipa,56
Quadeca,56
BTS,56
Tame Impala,56
Chloe x Halle,55
Unknown Mortal Orchestra,55
Uncle Kracker,54
PnB Rock,54
2 Chainz,53
Quinn XCII,53
NAV,53
P!nk,52
A$AP Rocky,52
Maroon 5,52
Jon Z,52
Taylor Swift,51
Kanye West,51
Joji,51
Calvin Harris,51
Internet Money,50
Logic,50
Vampire Weekend,50
SOB X RBE,50
Lil Uzi Vert,50
Falling In Reverse,49
Lady Gaga,49
NLE Choppa,48
Kygo,48
Kehlani,48
Vince Staples,48
Ja Rule,48
Jeremih,48
ZAYN,48
DJ Khaled,47
Glass Animals,47
Hollywood Undead,47
James Arthur,47
Marc E. Bassy,47
NF,47
Original Broadway Cast of Hamilton,46
Travis Scott,46
Morgan Wallen,46
Selena Gomez,46
Fall Out Boy,46
Pharrell Williams,46
Anuel AA,46
Post Malone,46
Lil Durk,46
Dan + Shay,45
J. Cole,45
Andy Grammer,44
The Weeknd,43
Florence + The Machine,43
City Girls,42
Nicki Minaj,42
YNW Melly,41
Bon Iver,41
Luke Combs,40
Demi Lovato,40
King Von,40
Rauw Alejandro,40
Hozier,39
Rod Wave,38
Zara Larsson,38
Craig Xen,37
JAY-Z,37
Ski Mask The Slump God,36
Summer Walker,36
Zedd,36
Leslie Odom Jr.,36
Sam Hunt,36
Lil Skies,36
Rex Orange County,36
X Ambassadors,35
Cardi B,35
Kali Uchis,35
Quavo,34
RY X,34
OneRepublic,34
H.E.R.,34
Niall Horan,33
Don Toliver,33
ZHU,32
Lofi Fruits Music,32
Ivy Queen,31
Xscape,31
Khalid,30
Frank Ocean,30
iann dior,30
Queen Naija,30
Q-Tip,29
Doja Cat,29
AJR,29
Jhay Cortez,28
Flatbush Zombies,28
Polo G,27
Kane Brown,27
Mumford & Sons,27
Myke Towers,27
Daniel Caesar,27
KAROL G,27
Marshmello,26
Xavier Omär,26
Metro Boomin,26
The xx,26
Rihanna,25
Diplo,25
Sleepy Hallow,24
SZA,24
Roddy Ricch,24
Lil Tjay,23
$NOT,23
Pooh Shiesty,22
Jeremy Zucker,20
Bryce Vine,20
Zach Williams,20
Brent Faiyaz,20
Harry Styles,17
Offset,16
TOMORROW X TOGETHER,16
Billie Eilish,14
Zion,13
Conan Gray,12
Giveon,11
Flo Milli,11
Lil Xan,10
Solfeggio Healing Frequencies MT,9
Zacari,9
Zendaya,7
Lil Nas X,2
