album_name,artist_name,album_release_date
Sounds Of Silence,Simon & Garfunkel,1966-01-17
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,1966-10-10
The Graduate,Simon & Garfunkel,1968-01-21
Bookends,Simon & Garfunkel,1968-04-03
Abbey Road (Remastered),The Beatles,1969-09-26
Bridge Over Troubled Water,Simon & Garfunkel,1970-01-26
Let It Be (Remastered),The Beatles,1970-05-08
In Through the out Door (Deluxe Edition),Led Zeppelin,1979-08-15
In Through the out Door (Remaster),Led Zeppelin,1979-08-15
The Concert in Central Park (Live),Simon & Garfunkel,1982-02-16
When It's All Said And Done... Take Time,Giveon,2021-03-12
The Lunar Injection Kool Aid Eclipse Conspiracy,Rob Zombie,2021-03-12
Sunset,Harris Heller,2021-03-05
PLAYBOY,Tory Lanez,2021-03-05
Change of Scenery II,Quinn XCII,2021-03-05
Poster Girl,Zara Larsson,2021-03-05
Ungodly Hour (Chrome Edition),Chloe x Halle,2021-02-26
Collection Agency,Curren$y,2021-02-26
Cape God (The Digital Concert),Allie X,2021-02-21
Arbor,UPPERROOM,2021-02-19
